,producto,precio_unitario,link_oferta
28,Bolsas De Residuos TASK 34 X 38 Cm 20 U. P . . .,"Precio por 1 Unidad : $19,01",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsas-de-residuos-task-34-x-38-cm-20-u-para-bano-oficia-papeleros-pequenos/_/A-00470224-00470224-200
29,Sobre Comercial Medoro 63 Gr Con Fondo X 2 . . .,"Precio por 1 Unidad : $19,45",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-sobre-comercial-medoro-63-gr-con-fondo-x-20/_/A-00524560-00524560-200
30,Bolsa De Residuos ASURIN 34 X 38 Cm 30 U. . . .,"Precio por 1 Unidad : $20,83",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsa-de-residuos-asurin-34-x-38-cm-30-u-para-banos/_/A-00191196-00191196-200
31,Papel Glace Flúor X 5 Hojas,"Precio por 1 Unidad : $21,80",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-papel-glace-fluor-x-5-hojas/_/A-00178822-00178822-200
32,Folios LUMA Escolar 10 Unidades,"Precio por 1 Unidad : $22,90",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-folios---luma-escolar-10-unidades/_/A-00179422-00179422-200
33,"Precintos Plasticos Negro 100x2,4mm 25u. B . . .","Precio por 1 Unidad : $23,96",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-precintos-plasticos-negro-100x24mm-25u-blister-prac/_/A-00174824-00174824-200
34,Bolsa Residuo 45x60 Cristal Del Lago X20 U . . .,"Precio por 1 Unidad : $23,97",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsa-residuo-45x60-cristal-del-lago-x20-uni/_/A-00550492-00550492-200
35,Protectores Diarios Antibacteial Kotex Paq . . .,"Precio por 1 Unidad : $24,50",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-protectores-diarios-antibacteial-kotex-paq-60-uni/_/A-00523350-00523350-200
36,Protectores Diarios Largos Kotex Paq 20 Un . . .,"Precio por 1 Unidad : $24,79",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-protectores-diarios-largos-kotex-paq-20-uni/_/A-00529905-00529905-200
37,Sobre Papel Manila Medoro 162x229mm X 10,"Precio por 1 Unidad : $25,90",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-sobre-papel-manila-medoro-162x229mm-x-10-/_/A-00524562-00524562-200
